Název,Adresa,Lat.,Lon.,Followers,events
Kasárna Karlín,Prvního pluku 20/2,50.0902,14.4432,5395,27
Stalin Letná,Letenské sady,50.0965,14.4197,2889,0
Sunset cinema,Arkády Pankrác – střecha,50.051,14.4382,334,27
Ledárny Braník,Ledařská,50.0328,14.4075,967,16
Roxy,Dlouhá 33,50.0907,14.4259,8448,71
MeetFactory,Ke Sklárně 15,50.0533,14.4082,8554,45
Lucerna Music Bar,Vodičkova 36,50.0817,14.4254,9641,40
Střecha Radost,nám. Winstona Churchilla 1800/2,50.0845,14.4426,1425,3
Autokino Strahov,Zátopkova ulice,50.0824,14.3855,881,1
SaSaZu,Bubenské nábřeží 306,50.0996,14.4448,1334,16
Forum Karlín,Pernerova 51,50.0918,14.4549,8547,4
CAMP – Centrum architektury a městského plánování,Vyšehradská 51,50.0731,14.4179,3362,14
Fuchs2,ostrov Štvanice 1125,50.0952,14.4363,2252,10
Náplavka,Rašínovo nábřeží,50.0719,14.4139,4479,0
Skautský institut na Staromáku,Staroměstské náměstí 4,50.087,14.4205,984,5
DOX Centrum současného umění,Poupětova 1,50.1069,14.4471,6130,55
Cross Club,Plynární 23,50.1082,14.4428,5298,17
Střelecký ostrov,Střelecký ostrov,50.0812,14.4099,1428,1
Klubovna,Generála Píky,50.0983,14.3886,1396,5
Kampus Hybernská,Hybernská 4,50.0871,14.4299,836,9
Gabriel Loci,Holečkova 106/10,50.0755,14.3967,199,17
Letní kino Kinská,Petřínské sady,50.077,14.3984,103,17
Výstaviště Praha,Výstaviště 67,50.1063,14.4306,2751,27
Fléda,Štefánikova 24,49.2099,16.6033,2279,29
Žluté lázně,Podolské nábřeží 3/1184,50.0482,14.4135,1437,5
Altenburg 1964,Partyzánská 18/23,50.1116,14.4388,998,4
M-Lounge,Roztylská 2321/19,50.0321,14.491,31,17
Baden Baden Štvanice,"ostrov Štvanice, 170 00 Praha 7",50.0954,14.4408,10,0
Storm Club,Tachovské náměstí 5,50.0877,14.4547,1760,9
Bike Jesus,ostrov Štvanice 1125,50.0952,14.4363,1089,9
Edison Filmhub,Jeruzalémská 1321/2,50.0848,14.4313,1035,41
Letní kino Špilberk,Letní terasa,49.1941,16.6001,614,5
Špilberk,Špilberk 1,49.1948,16.5993,606,10
Modrá vopice,K Žižkovu 1,50.0996,14.4944,461,8
Volmanova vila,Stankovského 46,50.1652,14.7355,308,54
Letní kino Brno-střed,Dominikánská 2,49.1931,16.606,260,0
Amfiteátr Plaza,Radčická 2,49.7505,13.3701,240,4
Café V lese,Krymská 12,50.0714,14.4484,5759,24
Rock Café,Národní 20,50.0819,14.4186,3913,45
Bio Oko,Františka Křížka 15,50.1001,14.4301,3829,21
Kino Aero,Biskupcova 31,50.0905,14.472,2599,23
Galerie Rudolfinum,Alšovo nábřeží 12,50.0903,14.4152,2206,4
Ankali,Lopuchová 58/6,50.0635,14.4569,1484,3
Městské divadlo Brno,Lidická 16,49.2015,16.6077,934,0
Pragovka Art District,Kolbenova 923/34,50.1105,14.5116,856,14
Rudolfinum,Alšovo nábřeží 79/12,50.0902,14.4152,802,27
Letní kino v Riegrových sadech,Riegrovy sady 28,50.0808,14.4427,764,0
Karlínská scéna Regina,Hybešova 10,50.0942,14.46,648,0
Manifesto Florenc,Na Florenci,50.089,14.4371,625,0
Letní scéna Vyšehrad,Soběslavova,50.0664,14.4166,504,28
KC Semilasso,Palackého Třída 126,49.2272,16.593,463,23
Křižíkova fontána,Výstaviště Praha Holešovice,50.1073,14.4293,433,7
Anežský klášter,Anežská 12,50.0921,14.424,326,25
Letní kino Brno na Dvoře MdB,Lidická 12,49.2011,16.6079,319,0
Planeta Za,Na Louži 7,50.064,14.4578,179,3
Park 360,Letiště 38,50.2418,15.8375,105,3
Tančírna v Račím údolí,Račí údolí,50.3691,16.996,73,6
Letní kino v Ďolíčku,Vršovická 31,50.0667,14.4537,47,0
O2 Arena,Českomoravská 17,50.1046,14.4939,4875,5
Střecha Lucerny,Štěpánská 61,50.0809,14.4264,3203,0
Žižkovské divadlo Járy Cimrmana,Štítného 5,50.0858,14.4494,2528,61
